Program,enwik8,ratio,decomp vs size,enwik9,ratio,decomp vs size,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
nncp v3.2,14915298,14.915298,62.4933925503834,106632363,0.106632363,446.777403946872,628955,xd,107261318,241871,238670,7600,Tr,88
cmix v20,14760552,14.760552,23.8448783892062,109877715,0.109877715,177.50154275117,241725,sd,110119440,621780,619024,31650,CM,83
fx-cmix,,0,0,112142259,0.112142259,517.175464406279,0,xd,,112142259,216836,8869,CM,97
tensorflow-compress v4,15905037,15.905037,54.6935107271933,113542413,0.113542413,390.44443489235,55283,sd,113597696,291394,290803,45360,LSTM,94
cmix-hp 10 Jun 2021,15957339,15.957339,82.1357782581841,113712798,0.113712798,585.303675108091,0,xd,113712798,189420,194280,6873,CM,89
fast-cmix,,0,0,113746218,0.113746218,932.567725114986,0,xd,113746218,,121971,8027,CM,99
starlit 31 May 2021,15215107,15.215107,88.6237753521045,114951433,0.114951433,669.560192681819,0,xd,114951433,173953,171682,10233,CM,89
phda9 1.8,15010414,15.010414,173.922878164649,116544849,0.116544849,1350.38351196339,42944,xd,116587793,86182,86305,6319,CM,83
paq8px_v206fix1   -12L,15849084,15.849084,53.753587453832,124696410,0.12469641,422.91903936618,402949,s,125099359,291916,294847,28151,CM,93
durilca'kingsize  -m13000 -o40 -t2,16209167,16.209167,9020.12632164719,127377411,0.127377411,70883.367278798,407477,xd,127784888,1398,1797,13000,PPM,31
cmve 0.2.0        -m230x7fed7dfd,16424248,16.424248,#DIV/0!,129876858,0.129876858,#DIV/0!,307787,x,130184645,1140801,,19963,CM,81
paq8hp12any       -8,16230028,16.230028,431.833439761601,132045026,0.132045026,3513.33083226905,330700,x,132375726,37660,37584,1850,CM,41
drt|emma 1.23,16523517,16.523517,246.263126518324,134164521,0.134164521,1999.56065099781,1358251,xd,135522772,73006,67097,3800,CM,81
zpaq 6.42         -m s10.0.5fmax6,17855729,17.855729,1211.46136101499,142252605,0.142252605,9651.4420924079,4760,sd,142257365,6699,14739,14000,CM,61
drt|lpaq9m        9,17964751,17.964751,20005.2906458797,143943759,0.143943759,160293.718262806,110579,x,144054338,868,898,1542,CM,41
mcm 0.83          -x11,18233295,18.233295,64887.1708185053,144854575,0.144854575,515496.708185053,79574,s,144934149,394,281,5961,CM,72
nanozip 0.09a     -cc -m32g -p1 -t1 -nm,18594163,18.594163,16296.3742331288,148545179,0.148545179,130188.588080631,783642,x,149328821,1149,1141,32000,CM,74
xwrt 3.2    -l14 -b255 -m96 -s -e40000 -f200,18679742,18.679742,8023.9441580756,151171364,0.151171364,64936.1529209622,52569,s,151223933,2537,2328,1691,CM,
fp8 v3            -8,18438169,18.438169,816.100960474483,153188176,0.153188176,6780.33798079051,50068,s,153238244,20605,22593,1192,CM,26
WinRK 3.03        pwcm +td 800MB SFX,18612453,18.612453,#DIV/0!,156291924,0.156291924,#DIV/0!,99665,xd,156391589,68555,,800,CM,10
ppmonstr J        -m1700 -o16,19055092,19.055092,5293.08111111111,157007383,0.157007383,43613.1619444444,42019,x,157049402,3574,3600,1700,PPM,
zcm 0.93          -m8 -t1,19572089,19.572089,47620.6545012165,159135549,0.159135549,387191.116788321,227659,x,159363208,421,411,3100,CM,48
slim 23d          -m1700 -o12,19077276,19.077276,3532.82888888889,159772839,0.159772839,29587.5627777778,69453,x,159842292,5232,5400,1700,PPM,
bsc-m03 0.4.0     -b1000000000,20293393,20.293393,150321.42962963,160258936,0.160258936,1187103.22962963,105456,xd,160364392,160,135,13000,BWT,96
bwmonstr 0.02,20307295,20.307295,130.052418554311,160468597,0.160468597,1027.67646512581,69401,x,160537998,331801,156147,590,BWT,30
nanozipltcb 0.09,20537902,20.537902,684596.733333333,161581290,0.16158129,5386043,133784,x,161715074,64,30,3350,BWT,40
M03 1.1b          1000000000,20710197,20.710197,51010.3374384236,163667431,0.163667431,403121.751231527,50468,x,163717899,457,406,5735,BWT,52
bcm 2.03          -b1000x-,20738630,20.73863,609959.705882353,163646387,0.163646387,4813129.02941177,125866,x,163772253,63,34,4096,BWT,98
glza 0.10.1       -x -p3,20356097,20.356097,1710596.38655462,163768203,0.163768203,13762033.8655462,69935,s,163838138,8184,11.9,8205,Dict,67
bsc 3.25          -b1000 -e2,20786794,20.786794,2598349.25,163884462,0.163884462,20485557.75,74297,xd,163958759,23,8,5000,BWT,96
bbb               m1000,20847290,20.84729,7960.01909125621,164032650,0.16403265,62631.7869415808,11227,s,164043877,4524,2619,1401,BWT,
pcompress 3.1     -c libbsc -l14 -s1000m,20769968,20.769968,280675.243243243,163391884,0.163391884,2207998.43243243,1370611,x,164762495,359,74,3300,BWT,48
paq9a             -9,19974112,19.974112,4967.44889331012,165193368,0.165193368,41082.6580452624,13749,s,165207117,3997,4021,1585,CM,
uda 0.300,19393460,19.39346,770.37657901009,166272261,0.166272261,6604.92019543974,11264,x,166283525,25282,25174,180,CM,
BWTmix v1         c10000,20608793,20.608793,29867.815942029,167852106,0.167852106,243263.92173913,9565,x,167861671,1794,690,5000,BWT,49
lrzip 0.612       -z -L 9 -p 1,19847690,19.84769,6776.26835097303,169318794,0.169318794,57807.7138955275,99363,x,169418157,2987,2929,2700,CM,33
cm4_ext,20188048,20.188048,4888.14721549637,170566799,0.170566799,41299.4670702179,204782,x,170771581,4123,4130,1906,CM,26
M1x2 v0.6         7 enwik7.txt,20723056,20.723056,28983.2951048951,172212773,0.172212773,240857.025174825,38467,s,172251240,711,715,1051,CM,26
cmm4 v0.1e        96,20569034,20.569034,10004.3939688716,172669955,0.172669955,83983.4411478599,31314,x,172701269,2052,2056,1321,CM,
lstm-compress v3,20318653,20.318653,221.152999695241,173874407,0.173874407,1892.48995385084,144567,s,174018974,92342,91876,9,LSTM,83
ccmx 1.30         7,20857925,20.857925,15588.8826606876,174142092,0.174142092,130151.040358744,15014,x,174157106,1313,1338,1332,CM,
bit 0.7           -p=5,20823204,20.823204,9915.81142857143,174425039,0.174425039,83059.5423809524,62493,x,174487532,2050,2100,663,CM,26
mcomp 2.00        -mw -M320m,21103670,21.10367,52891.4035087719,174388351,0.174388351,437063.536340852,172531,x,174560882,473,399,1643,BWT,26
epmopt|epm r9     -m800 -n20 --fixedorder:12,19713502,19.713502,5839.30746445498,174817424,0.174817424,51782.4123222749,141101,x,174958525,3179,3376,800,PPM,
WinUDA 2.91       mode 3 (194 MB),20332366,20.332366,866.202274954203,174975730,0.17497573,7454.34030588336,17203,x,174992933,23610,23473,194,CM,
dark 0.51         -b333mf,21169819,21.169819,46732.4922737307,175471417,0.175471417,387354.121412804,34797,x,175506214,533,453,1692,BWT,
FreeArc 0.40pre-4 -mppmd:1012m:o13:r1,20931605,20.931605,17213.4909539474,175254732,0.175254732,144123.957236842,748202,x,176002934,1175,1216,1046,PPM,
hook v1.4         1700,21990502,21.990502,31641.0100719424,176648663,0.176648663,254170.738129496,37004,x,176685667,741,695,1777,DMC,26
7zip 4.46a        -m0=ppmd:mem=1630m:o=10 ...,21197559,21.197559,38823.3681318681,178965454,0.178965454,327775.556776557,0,xd,178965454,503,546,1630,PPM,23
rings 2.5         -m8 -t1,20873959,20.873959,128061.098159509,178747360,0.17874736,1096609.57055215,240523,x,178987883,280,163,2518,BWT,48
pimple2,20871457,20.871457,1160.04096265007,180251530,0.18025153,10018.4265228991,78642,x,180330172,18474,17992,128,CM,
ash 04a           /m700 /o10,19963105,19.963105,3410.74747992483,180735542,0.180735542,30879.1289936785,11137,x,180746679,6100,5853,700,CM,
bce3,22729148,22.729148,9299.97872340426,180732702,0.180732702,73949.5507364976,19889,s,180752591,1151,2444,5000,CM,71
ocamyd LTCB 1.0   -s0 -m3,21285121,21.285121,193.5011,182359986,0.182359986,1657.81805454545,21030,x,182381016,108960,110000,300,DMC,6
bee 0.79 b0154    -m3 -d8,20975994,20.975994,2259.12697899838,182373904,0.182373904,19641.7774905762,57046,x,182430950,9295,9285,512,PPM,
uhbc 1.0          -m3 -b100m,20930838,20.930838,25872.4820766378,182918172,0.182918172,226104.044499382,56242,x,182974414,1569,809,800,BWT,
smac 1.20,21781544,21.781544,4951.47624460105,183190888,0.183190888,41643.7572175494,4356,x,183195244,4249,4399,1542,CM,26
ppmd J1           -m256 -o10 -r1,21388296,21.388296,23897.5374301676,183964915,0.183964915,205547.391061453,11099,s,183976014,880,895,256,PPM,
tc 5.2 dev 2,21481399,21.481399,5877.26374829001,184939711,0.184939711,50599.1001367989,41112,x,184980823,3637,3655,230,CM,
bwtsdc v1,23414955,23.414955,55749.8928571429,185709858,0.185709858,442166.328571429,8421,s,185718279,2100,420,5213,BWT,47
fbc v1.1          333333334,22554133,22.554133,54347.3084337349,185975548,0.185975548,448133.85060241,23576,x,185999124,451,415,1647,BWT,55
ppmvc v1.1        -m256 -o8 -r1,21484294,21.484294,23531.5377875137,186208405,0.186208405,203952.250821468,25241,x,186233646,898,913,272,PPM,
chile 0.4         -b=244141,22218917,22.218917,43396.322265625,186979614,0.186979614,365194.55859375,11530,s,186991144,2513,512,1426,BWT,
bwtdisk 0.9.0     -b 2 -m 3500,24725277,24.725277,#DIV/0!,190004306,0.190004306,#DIV/0!,169579,s,190173885,1124,,3500,BWT,48
CTXf 0.75 pre b1  -me,22072783,22.072783,21285.2295081967,191008871,0.191008871,184193.703953713,57337,x,191066298,1112,1037,78,PPM,
m03exp 2005-02-15 32MB blocks,21948192,21.948192,10451.52,191250500,0.1912505,91071.6666666667,44593,x,191295093,4800,2100,256,BWT,
Stuffit 12.0.0.17 -m=4 -l=16 -x=30,22105654,22.105654,33595.2188449848,190372707,0.190372707,289320.223404255,2658122,xd,193030829,628,658,1062,PPM,
plzma v3b         c2 ... (see below),24206571,24.206571,440119.472727273,193240160,0.19324016,3513457.45454545,101221,x,193341381,8889,55,10110,LZ77,58
crook v0.1        -m1600 -O8,22503627,22.503627,43866.7192982456,193333159,0.193333159,376867.756335283,8539,s,193341698,483,513,1641,PPM,26
ppmx 0.03,22572808,22.572808,28791.8469387755,193643464,0.193643464,246994.214285714,54964,x,193698428,777,784,609,PPM,26
lzturbo 1.1       -49 -b1000 -p0,24416777,24.416777,2712975.22222222,194681713,0.194681713,21631301.4444444,110670,x,194792383,1920,9,14700,LZ77,59
enc 0.15          aq,22156982,22.156982,3226.1185206756,195604166,0.195604166,28480.5133954572,94888,x,195699054,6843,6868,50,CM,
comprolz 0.11.0-bugfix1  -b250 -f,22813215,22.813215,74068.8798701299,196651379,0.196651379,638478.503246753,29453,x,196680832,984,308,688,ROLZ,26
sbc 0.970r2       -ad -m3 -b63,22470539,22.470539,71790.8594249201,197066203,0.197066203,629604.482428115,99094,xd,197165297,1733,313,224,BWT,
xz 5.2.1--lzma2=preset=9edict=1GiBlc=4pb=0,24703772,24.703772,1235188.6,197331816,0.197331816,9866590.8,36752,xd,197368568,5876,20,6000,LZ77,73
WinRAR 3.60b3     -mc7:128t+ -sfxWinCon.sfx,22713569,22.713569,54731.4915662651,198454545,0.198454545,478203.722891566,0,xd,198454545,506,415,128,PPM,
quark v0.95r beta -m1 -d25 -l8,22988924,22.988924,105939.741935484,198600023,0.198600023,915207.479262673,80264,x,198680287,27952,217,534,LZ77,
lzip 1.14-rc3     -9 -s512MiB,24756063,24.756063,1178860.14285714,199410543,0.199410543,9495740.14285714,21682,s,199432225,2409,21,5632,LZ77,57
comprox 0.11.0-bugfix1 -b250 -f -m100,23064386,23.064386,150747.620915033,199515912,0.199515912,1304025.56862745,34176,x,199550088,917,153,688,LZ77,26
bssc 0.95 alpha   -b16383,23117061,23.117061,106530.235023041,201810709,0.201810709,930003.267281106,45489,x,201856198,578,217,140,BWT,4
flashzip 1.0.0    -mx7 -b7,23869034,23.869034,195647.819672131,202363445,0.202363445,1658716.76229508,123053,x,202486498,1296,122,802,ROLZ,26
lzham 1.0         -d29 -x,25002070,25.00207,3788192.42424242,202237199,0.202237199,30641999.8484849,191600,s,202428799,1096,6.6,7800,LZ77,70
csarc 3.3         -m5 -d1024m,24516202,24.516202,1114372.81818182,203995005,0.203995005,9272500.22727273,69848,s,204064853,621,22,2463,LZ77,48
packet 1.9        -mx -b512 -h8,24968492,24.968492,1783463.71428571,204195438,0.204195438,14585388.4285714,261967,x,204457405,974,14,2824,LZ77,48
uharc 0.6b        -mx -md32768,23911123,23.911123,17978.2879699248,208026696,0.208026696,156411.04962406,73608,xd,208100304,1666,1330,50,PPM,
TarsaLZP Jan 29 2012,24751389,24.751389,#DIV/0!,208867187,0.208867187,#DIV/0!,13081,s,208880268,203,,~2000,LZP,54
GRZipII 0.2.4     -b8m,23846878,23.846878,110402.212962963,208993966,0.208993966,967564.657407407,41645,s,209035641,312,216,58,BWT,
4x4 0.2a          4t (grzip:m1:h18),23833244,23.833244,99305.1833333333,208787642,0.208787642,869948.508333333,317097,x,209104739,386,240,269,BWT,
rzm 0.07h,24361070,24.36107,300753.950617284,210126103,0.210126103,2594149.41975309,17667,x,210143770,2336,81,160,ROLZ,
pim 2.50          best,24303638,24.303638,31811.0445026178,210124895,0.210124895,275032.585078534,330901,x,210455796,764,764,88,PPM,
CTW 0.1           -d6 -n16M -f16M,23670293,23.670293,1212.36903298504,211995206,0.211995206,10858.1851055112,43247,x,212038452,19221,19524,144,CM,
boa 0.58b         -m15,24322643,24.322643,5932.35195121951,213845481,0.213845481,52157.4343902439,55813,x,213901294,3953,4100,17,PPM,
yxz 0.11          -m9 -b7 -h6,25754856,25.754856,334478.649350649,214317684,0.214317684,2783346.54545455,131062,x,214448746,642,77,1590,LZ,26
zstd 0.6.0        -22 --ultra,25405601,25.405601,11548000.4545455,215674670,0.21567467,98033940.9090909,69687,s,215744357,701,2.2,792,LZ77,76
tornado 0.6       -16,25768105,25.768105,2863122.77777778,217749028,0.217749028,24194336.4444444,83694,s,217832722,1482,9,1290,LZ77,48
LZPXj 1.2h        9,25205783,25.205783,35154.5090655509,217880584,0.217880584,303878.080892608,4853,s,217885437,783,717,1316,PPM,
scmppm 0.93.3     -l 9,25198832,25.198832,39128.6211180124,217867392,0.217867392,338303.403726708,37043,s,217904435,708,644,20,PPM,
acb 2.00c         u,25063656,25.063656,2303.00983184784,218473968,0.218473968,20074.7926123312,38976,x,218512944,10656,10883,16,LZ77,26
