Program,enwik8,ratio,decomp vs size,enwik9,ratio,decomp vs size,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
crushm,25013576,25.013576,38541.719568567,218656416,0.218656416,336912.813559322,30097,x,218686513,617,649,39,CM,26
PX v1.0,24971871,24.971871,13804.2404643449,219091398,0.219091398,121111.883913765,3054,s,219094452,1838,1809,66,CM,3
DGCA 1.10         default+SFX,25203248,25.203248,93345.362962963,219655072,0.219655072,813537.303703704,0,xd,219655072,858,270,76,,
Squeez 5.20.4600  sqx2.0 32MB Ultra,25118441,25.118441,216538.284482759,220004873,0.220004873,1896593.73275862,91019,xd,220095892,2575,116,365,,
fpaq2,25287775,25.287775,1252.73828395918,221242386,0.221242386,10960.1895373031,3429,s,221245815,20183,20186,131,CM,
TinyCM 0.1        9,25913605,25.913605,19483.9135338346,221773542,0.221773542,166747.02406015,12553,x,221786095,1342,1330,1083,CM,26
dmc               c 1800000000,25320517,25.320517,35118.6088765603,222605607,0.222605607,308745.640776699,2220,s,222607827,676,721,1800,DMC,
lza 0.82b         -mx9 -b7 -h7,26396613,26.396613,2721300.30927835,222808457,0.222808457,22969944.0206186,285766,x,223094223,449,9.7,2000,LZ77,48
brotli 18-Feb-2016 -q 11 -w 24,25764698,25.764698,4366897.9661017,223597884,0.223597884,37897946.440678,542385,s,224140269,3400,5.9,437,LZ77,48
szip 1.12a        -b41o16,26120472,26.120472,90382.2560553633,227586463,0.227586463,787496.411764706,31708,x,227618171,1191,289,21,BWT,26
balz 1.13         ex,26421416,26.421416,139060.084210526,228337644,0.228337644,1201777.07368421,49024,x,228286668,3700,190,206,ROLZ,
lzpm 0.11         9,26501542,26.501542,464939.333333333,229083971,0.229083971,4019017.03508772,46824,x,229130795,15395,57,740,ROLZ,
qazar 0.0pre5     -l7 -d9 -x7,26455170,26.45517,29296.976744186,229846871,0.229846871,254536.955703212,71959,x,229918830,5738,903,105,LZP,
KuaiZip 2.3.2 x86,25895915,25.895915,550976.914893617,227905650,0.22790565,4849056.38297872,3857649,x,231763299,1061,47,197,LZ77,26
qc 0.050          -8,26763343,26.763343,17806.6154357951,232784501,0.232784501,154879.907518297,46100,x,232830601,8218,1503,151,,
ppms J            -o5,26310248,26.310248,74322.7344632768,233442414,0.233442414,659441.847457627,16467,x,233458881,330,354,1.8,PPM,
dzo beta,26616115,26.616115,167396.949685535,235056859,0.235056859,1478345.02515723,618883,x,235675742,1088,159,200,LZ77,26
comprox_ba 20110929,27828189,27.828189,275526.623762376,242846243,0.242846243,2404418.24752475,4134,s,242850377,397,101,226,BWTS,48
WinTurtle 1.60    512 MB buffer,28379612,28.379612,119745.198312236,245217944,0.245217944,1034674.86919831,160090,x,245378034,273,237,583,PPM,
diz,26545256,26.545256,1167.02963158358,246679382,0.246679382,10844.9565637914,12945,s,246692327,21240,22746,1350,PPM,26
cabarc 1.00.0601  -m lzx:21,28465607,28.465607,1897707.13333333,250756595,0.250756595,16717106.3333333,51917,xd,250808853,1619,15,20,LZ77,
sr3,28926691,28.926691,180791.81875,253031980,0.25303198,1581449.875,9399,s,253054625,148,160,68,SR,26
bzip2 1.0.2       -9,29008736,29.008736,224873.92248062,253977839,0.253977839,1968820.45736434,30036,x,254007875,379,129,8,BWT,
rh5_x64           -window:27 c6,29078552,29.078552,3093462.9787234,254220469,0.254220469,27044730.7446809,36744,x,254257213,196,9.4,145,ROLZ,48
RangeCoderC v1.7  c7 26,28788013,28.788013,11817.7393267652,254527369,0.254527369,104485.783661741,7858,x,254535227,2460,2436,1116,CM,26
quad v1.11        -x,29110579,29.110579,250953.267241379,256145858,0.256145858,2208153.94827586,13387,s,256159245,956,116,34,ROLZ,
WinACE            -sfx -m5 -d4096,29481470,29.48147,382876.233766234,257237710,0.25723771,3340749.48051948,0,xd,257237710,1080,77,4,,
lzsr 0.01,29433834,29.433834,334475.386363636,258912605,0.258912605,2942188.69318182,40287,x,258952892,194,88,6,LZ77,26
libzling 20160107 e4,29721114,29.721114,1100782,259475639,0.259475639,9610208.85185185,35582,s,259511221,83,27,28,ROLZ,48
xpv5              c2,29963217,29.963217,58068.25,262525246,0.262525246,508769.856589147,14371,x,262539617,2359,516,9,ROLZ,26
sr3c 1.0,29731019,29.731019,205041.510344828,266035006,0.266035006,1834724.17931034,7701,x,266042707,160,145,5,SR,26
lzc v0.08         10,30611315,30.611315,485893.888888889,266565255,0.266565255,4231194.52380952,11364,x,266576619,302,63,550,LZ77,
nakamichi 2019-Jul-01,32917888,32.917888,25321452.3076923,277293058,0.277293058,213302352.307692,112899,s,277405957,8200000,1.3,302000,LZSS,85
crush 1.00        cx,31731711,31.731711,10941969.3103448,279491430,0.27949143,96376355.1724138,2489,s,279493919,948,2.9,148,LZ77,60
xeloz 0.3.5.3     c889,32441272,32.441272,4055159,283621211,0.283621211,35452651.375,18771,s,283639982,1079,8,230,LZ77,48
bzp 0.2,31563865,31.563865,263032.208333333,283908295,0.283908295,2365902.45833333,36808,x,283945103,110,120,3,LZP,
lzwg              -27,34423369,34.423369,839594.365853659,284356322,0.284356322,6935520.04878049,19828,xd,284376150,135,41,1744,LZW,95
ha 0.98           a2,31250524,31.250524,17361.4022222222,285739328,0.285739328,158744.071111111,28404,x,285767732,2010,1800,0.8,PPM,
ulz 0.06          c9,32945292,32.945292,29950265.4545455,291028084,0.291028084,264570985.454545,49450,x,291077534,325,1.1,490,LZ77,82
irolz,33310676,33.310676,231324.138888889,292448365,0.292448365,2030891.42361111,4584,s,292452949,274,144,17,ROLZ,26
lcssr 0.2         -b7 -l9,34549048,34.549048,4172.08646298756,296160661,0.296160661,35763.8764641951,8802,x,296169463,8186,8281,1184,SR,
zlite,33975840,33.97584,1213422.85714286,298470807,0.298470807,10659671.6785714,4880,s,298475687,61,28,36,ROLZ,26
lazy 1.00         5,35024082,35.024082,1459336.75,306245949,0.306245949,12760247.875,5986,s,306251935,273,24,96,LZ77,26
zhuff 0.97 beta   -c2,34907478,34.907478,9973565.14285714,308530122,0.308530122,88151463.4285714,63209,x,308593331,24,3.5,32,LZ77,48
lzhhf,34848933,34.848933,2904077.75,308825079,0.308825079,25735423.25,24576,xd,308849655,392,12,14,LZ77,95
slug 1.27,35093954,35.093954,1253355.5,309201454,0.309201454,11042909.0714286,6809,x,309208263,32,28,14,ROLZ,
lzuf62,34960889,34.960889,3178262.63636364,309837920,0.30983792,28167083.6363636,24576,xd,309862496,375,11,14,LZ77,95
pigz 2.3          -11,35002893,35.002893,2692530.23076923,309812953,0.309812953,23831765.6153846,52717,s,309865670,2237,13,25,LZ77,48
kzip May 13 2006  /b1024,35016649,35.016649,564784.661290323,310188783,0.310188783,5003044.88709677,29184,xd,310217967,6063,62,121,LZ77,2
uc2 rev 3 pro     -tst,35384822,35.384822,561663.841269841,312767652,0.312767652,4964565.90476191,123031,x,312890683,360,63,4,LZ77,
thor 0.95         e4,35795184,35.795184,1052799.52941176,314092324,0.314092324,9238009.52941177,49925,x,314142249,64,34,16,LZP,
etincelle a3,35776971,35.776971,1987609.5,314801710,0.31480171,17488983.8888889,44103,x,314845813,29,18,976,ROLZ,26
lz5 1.3.3         -18,36514408,36.514408,9868758.91891892,319510433,0.319510433,86354171.0810811,138210,s,319648643,10578,3.7,1139,LZ77,48
gzip124hack 1.2.4 -9,36273716,36.273716,1909142.94736842,321050648,0.321050648,16897402.5263158,62653,x,321113301,149,19,1,LZ77,
doboz 0.1,36367430,36.36743,10696302.9411765,322415409,0.322415409,94828061.4705882,83591,x,322499000,533,3.4,1200,LZ77,48
gzip 1.3.5        -9,36445248,36.445248,2143838.11764706,322591995,0.322591995,18975999.7058824,38801,x,322630796,101,17,1.6,LZ77,
Info-ZIP 2.3.1    -9,36445373,36.445373,1041296.37142857,322592120,0.32259212,9216917.71428572,57583,x,322649703,104,35,0.1,LZ77,
pkzip 2.0.4       -ex,36556552,36.556552,731131.04,323403526,0.323403526,6468070.52,29184,xd,323432710,171,50,2.5,LZ77,
jar (Java) 0.98-gcc  cvfM,36520144,36.520144,384422.568421053,323747582,0.323747582,3407869.28421053,19054,x,323766636,118,95,1.2,LZ77,
PeaZip            better no integrity check,36580548,36.580548,150537.234567901,323884274,0.323884274,1332857.09465021,561079,x,324445353,243,243,8,LZ77,20
arj 3.10          -m1,37091317,37.091317,553601.746268657,328553982,0.328553982,4903790.7761194,143956,x,328697938,262,67,3,LZ77,26
lzgt3a,37444440,37.44444,12974.5114345114,334405713,0.334405713,115871.695426195,4387,xd,334410100,1581,2886,2,LZ77,
pucrunch          -d -c0,39199165,39.199165,84663.4233261339,350265471,0.350265471,756512.896328294,34359,s,350299830,2649,463,2,LZ77,
packARC v0.7RC11  -sfx -np,38375065,38.375065,25824.4044414536,361905425,0.361905425,243543.354643338,0,xd,361905425,1359,1486,23,CM,
urban,38215763,38.215763,84923.9177777778,362677440,0.36267744,805949.866666667,4280,s,362681720,381,450,6,o2,48
lzop v1.01        -9,41217688,41.217688,3434807.33333333,366349786,0.366349786,30529148.8333333,54438,x,366404224,289,12,1.8,LZ77,
lzw 0.2,41960994,41.960994,1353580.4516129,367633910,0.36763391,11859158.3870968,671,s,367634581,3597,31,18,LZW,
MTCompressor v1.0,41295546,41.295546,352953.384615385,370152396,0.370152396,3163695.69230769,3620,x,370156016,173,117,74,LZ77,26
lz4x 1.02         c4,41950112,41.950112,29964365.7142857,372068437,0.372068437,265763169.285714,48609,x,372117046,79,1.4,114,LZ77,68
arbc2z,38756037,38.756037,14493.6563201197,379054068,0.379054068,141755.448017951,6255,sd,379060323,2659,2674,68,PPM,
lz4 v1.2          -c2,42870164,42.870164,7145027.33333333,379999522,0.379999522,63333253.6666667,49128,x,380048650,91,6,20,LZ77,26
lzss 0.02         cx,42874387,42.874387,18641037.826087,380192378,0.380192378,165301033.913044,48114,x,380240492,107,2.3,145,LZSS,63
xdelta 3.0u       -9,44288463,44.288463,1476282.1,389302725,0.389302725,12976757.5,107985,x,389410710,1021,30,47,LZ77,
brieflz 1.1.0,43300800,43.3008,5773440,390122722,0.390122722,52016362.9333333,14907,s,390137629,21,7.5,3,LZ77,48
mtari 0.2,41655528,41.655528,420762.909090909,397232608,0.397232608,4012450.58585859,4156,s,397236764,80,99,18,CM,26
lzf 1.02          cx,45198298,45.198298,20544680.9090909,406805983,0.406805983,184911810.454545,48359,x,406854342,68,2.2,151,LZ77,68
srank 1.1         -C8,43091439,43.091439,957587.533333333,409217739,0.409217739,9093727.53333333,6546,x,409224285,51,45,2,SR,
QuickLZ 1.30b     (quick3),46378438,46.378438,3864869.83333333,410633262,0.410633262,34219438.5,44202,x,410677464,48,12,3,LZ77,
stz 0.7.2         -c2,47192312,47.192312,3630177.84615385,416524596,0.416524596,32040353.5384615,41941,x,416566537,14,13,3,LZ77,26
compress 4.3d,45763941,45.763941,653770.585714286,424588663,0.424588663,6065552.32857143,16473,x,424605136,103,70,1.8,LZW,
lzrw3-a,48009194,48.009194,2824070.23529412,438253704,0.438253704,25779629.6470588,4750,x,438258454,38,17,2,LZ77,
fcm1,45402225,45.402225,173954.885057471,447305681,0.447305681,1713814.8697318,1116,s,447306797,228,261,1,CM1,
runcoder1,46883939,46.883939,300538.070512821,458125932,0.458125932,2936704.69230769,5488,s,458131420,140,156,4,o1,26
data-shrinker 23Mar2012,51658517,51.658517,12914629.25,459825318,0.459825318,114956329.5,3706,s,459829024,14,4,2,LZ77,26
lzwc_bitwise 0.7,46639414,46.639414,348055.328358209,463884550,0.46388455,3461825,4183,x,463888733,123,134,71,LZW,26
exdupe 0.3.3,53717422,53.717422,10743484.4,478788378,0.478788378,95757675.6,1092986,x,479881364,27,5,1000,LZ77,48
lzv 0.1.0,54950847,54.950847,21134941.1538462,488436027,0.488436027,187860010.384615,10385,x,488446412,4,2.6,3,LZ77,48
FastLZ Jun 12 2007,54658924,54.658924,4204532.61538462,493066558,0.493066558,37928196.7692308,7065,xd,493073623,18,13,1,LZ77,
sharc 0.9.11b     -c2,53175042,53.175042,3798217.28571429,494421068,0.494421068,35315790.5714286,81001,s,494502069,15,14,6,LZP,26
flzp v1,57366279,57.366279,1509638.92105263,497535428,0.497535428,13093037.5789474,3942,s,497539370,78,38,8,LZP,
alba 0.5.1        cd,52728620,52.72862,5272862,515760096,0.515760096,51576009.6,4870,s,515764966,239,10,4,BPE,48
lzpgt6,56113248,56.113248,11222649.6,522877083,0.522877083,104575416.6,27136,x,522904219,6,5,6,LZP,95
snappy 1.0.1,58350605,58.350605,4862550.41666667,527772054,0.527772054,43981004.5,23844,s,527795898,25,12,0.1,LZ77,26
bpe               5000 4096 200 3,53906667,53.906667,1925238.10714286,532250688,0.532250688,19008953.1428571,1037,sd,532251725,639,28,0.5,Dict,26
kwc,54097740,54.09774,373087.862068966,532622518,0.532622518,3673258.74482759,15186,x,532637704,438,145,668,Dict,26
bpe2 v3,55289197,55.289197,418857.553030303,542748980,0.54274898,4111734.6969697,2979,s,542751959,518,132,0.5,Dict,26
fpaq0f2,56916872,56.916872,274960.734299517,558645708,0.558645708,2698771.53623188,3066,x,558648769,222,207,0.4,o0,
ppp,61657971,61.657971,1045050.3559322,579352307,0.579352307,9819530.62711864,1472,s,579353779,80,59,1,SR,
ksc               4,59511259,59.511259,7516.89516230896,580557413,0.580557413,73330.4803587217,13507,x,580570920,40050,7917,1700,SR,48
lzbw1 0.8,67620436,67.620436,5635036.33333333,590235688,0.590235688,49186307.3333333,21751,x,590257439,15,12,55,LZP,26
lzp2 0.7c,67909076,67.909076,8488634.5,598076882,0.598076882,74759610.25,40819,x,598117701,11,8,15,LZP,26
NTFS              LZNT1,76955648,76.955648,8550627.55555556,636870656,0.636870656,70763406.2222222,0,,636870656,10,9,0.1,LZ77,26
shindlet_fs,62890267,62.890267,610585.116504854,637390277,0.637390277,6188255.11650485,1275,xd,637391552,113,103,0.6,o0,
arb255,63501996,63.501996,24670.5501165501,644561595,0.644561595,250412.43006993,4871,sd,644566466,2551,2574,1.6,o0,
compact,63862371,63.862371,389404.701219512,648370029,0.648370029,3953475.78658537,3600,sd,648373629,216,164,0.2,o0,
TinyLZP 0.1,79220546,79.220546,2084751.21052632,694274932,0.694274932,18270392.9473684,2811,s,694277743,32,38,10,LZP,26
smile,71154788,71.154788,6832.60879585174,695562502,0.695562502,66791.0987132706,207,xd,695562709,10517,10414,0.6,MTF,26
barf              (2 passes),76074327,76.074327,1435364.66037736,758482743,0.758482743,14310995.1509434,983782,s,759466525,756,53,4,LZ77,
arb2x v20060602,99642909,99.642909,40439.492288961,995674993,0.995674993,404088.877029221,3433,sd,995678426,2616,2464,1.6,o0b,
